发布时间,平台,内容类型,点赞数,评论数,转发数,内容,用户类型,情感倾向
2024-01-01 10:00:00,微博,图文,156,23,12,今天天气真好，适合出去走走,个人用户,正面
2024-01-01 12:30:00,微信,视频,89,15,8,分享一个有趣的小视频,个人用户,正面
2024-01-01 15:45:00,抖音,短视频,234,45,67,美食制作教程,企业用户,正面
2024-01-01 18:20:00,小红书,图文,178,32,19,护肤心得分享,个人用户,正面
2024-01-01 20:10:00,微博,图文,67,12,5,今天工作很累,个人用户,负面
2024-01-02 09:15:00,微信,图文,123,28,16,早安，新的一天开始了,个人用户,正面
2024-01-02 11:30:00,抖音,短视频,456,78,123,搞笑视频合集,企业用户,正面
2024-01-02 14:20:00,小红书,图文,234,41,25,穿搭搭配推荐,个人用户,正面
2024-01-02 16:45:00,微博,图文,89,18,9,产品推广信息,企业用户,中性
2024-01-02 19:30:00,微信,视频,145,35,22,生活日常分享,个人用户,正面
2024-01-03 08:45:00,抖音,短视频,567,92,156,舞蹈教学,个人用户,正面
2024-01-03 10:30:00,小红书,图文,198,37,21,旅行攻略分享,个人用户,正面
2024-01-03 13:15:00,微博,图文,76,14,7,心情不太好,个人用户,负面
2024-01-03 15:50:00,微信,图文,167,31,18,健康生活小贴士,企业用户,正面
2024-01-03 18:25:00,抖音,短视频,345,67,89,音乐翻唱,个人用户,正面
2024-01-04 09:00:00,小红书,图文,212,43,27,美妆教程,个人用户,正面
2024-01-04 11:45:00,微博,图文,134,26,15,行业资讯分享,企业用户,中性
2024-01-04 14:30:00,微信,视频,189,42,28,产品使用演示,企业用户,正面
2024-01-04 17:15:00,抖音,短视频,478,85,134,宠物搞笑视频,个人用户,正面
2024-01-04 20:00:00,小红书,图文,156,29,17,家居装饰灵感,个人用户,正面 